RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
43,78574553,Smith,417,Germany,Male,54,3,76229.05,2,0,0,159615.61,0,0,2,DIAMOND,106
44,26845364,Smith,377,Germany,Female,75,10,72397.55,1,0,1,189487.66,0,0,2,PLATINUM,433
45,62157313,Smith,786,Spain,Male,45,5,143298.27,2,0,0,143887.08,0,0,1,GOLD,370
46,21392366,Smith,465,France,Female,44,4,211555.8,4,1,0,176421.18,0,0,2,DIAMOND,523
47,79778859,Smith,400,Spain,Female,87,9,233657.1,2,0,1,78554.23,0,0,1,DIAMOND,554
48,98883975,Smith,530,France,Male,54,9,67232.26,3,0,0,76614.6,0,0,1,DIAMOND,977
49,23479854,Smith,609,France,Male,23,6,151853.7,4,1,0,70964.26,0,0,4,SILVER,135
50,83506850,Smith,428,Germany,Male,79,5,180975.7,2,0,1,149644.19,0,0,3,DIAMOND,196
51,23187277,Smith,622,Spain,Female,50,3,56598.04,3,0,0,188992.53,1,0,5,DIAMOND,272
52,78979792,Smith,457,Germany,Male,57,10,101867.16,2,0,0,178226.15,0,0,3,GOLD,285
53,47709731,Smith,800,Spain,Female,58,9,46868.57,3,0,0,38540.64,1,0,5,GOLD,526
54,36939239,Smith,423,France,Male,59,8,174726.27,4,1,0,128960.47,0,0,4,PLATINUM,553
55,33027075,Smith,524,Spain,Female,26,6,215946.28,2,1,1,199232.07,0,0,4,GOLD,612
56,91200125,Smith,839,France,Female,35,0,219383.59,1,0,0,66120.0,0,0,3,SILVER,291
57,96191493,Smith,533,Germany,Male,32,7,167522.22,2,1,0,130609.11,1,0,4,PLATINUM,774
58,97796277,Smith,372,Germany,Male,21,3,86788.09,1,0,1,182258.53,0,0,4,SILVER,906
59,76401385,Smith,623,France,Female,51,6,165260.09,4,0,0,180914.15,0,0,1,PLATINUM,621
60,32335235,Smith,478,France,Male,79,10,216066.68,1,1,0,71080.3,0,0,4,DIAMOND,114
61,10271836,Smith,640,Germany,Male,55,1,156463.96,3,1,0,27845.73,1,0,2,GOLD,111
62,13584702,Smith,669,France,Male,88,2,103222.99,1,0,1,132741.7,0,0,4,PLATINUM,131
63,62631083,Smith,535,France,Male,40,0,229950.69,4,0,1,189923.82,0,0,5,GOLD,922
64,18585377,Smith,828,France,Male,37,1,208804.15,4,0,0,106516.91,0,0,3,PLATINUM,680
65,96544585,Smith,408,Germany,Male,73,10,220608.81,1,0,1,96964.4,0,0,5,GOLD,485
66,95157821,Smith,841,France,Male,70,4,225798.01,3,0,1,174150.2,0,0,1,DIAMOND,140
67,97655395,Smith,350,France,Female,19,1,98453.08,4,1,0,90673.37,0,0,4,PLATINUM,397
68,27824013,Smith,480,France,Male,38,5,214909.75,2,0,0,139376.45,0,0,2,GOLD,489
69,46601694,Smith,416,France,Female,59,5,142587.42,4,1,1,83842.05,1,0,1,SILVER,253
70,77105583,Smith,642,Spain,Male,74,5,9539.74,2,1,0,81656.12,0,0,3,DIAMOND,573
71,70304654,Smith,816,Spain,Female,66,10,158959.09,1,0,1,45683.44,1,0,4,PLATINUM,939
72,44119117,Smith,634,France,Female,27,2,117654.73,3,1,1,26805.82,0,0,3,PLATINUM,828
73,46433622,Smith,438,Germany,Male,89,10,68788.66,2,1,1,178180.53,0,0,1,SILVER,890
74,99482491,Smith,766,Germany,Male,78,2,242595.79,3,0,0,44431.77,0,0,2,SILVER,521
75,70031992,Smith,449,Germany,Male,38,9,13767.71,3,1,1,21821.5,0,0,3,PLATINUM,372
76,65105831,Smith,538,Germany,Male,77,6,236469.35,1,1,0,120638.54,0,0,4,SILVER,797
77,13366612,Smith,826,France,Female,30,3,39816.77,4,0,0,113739.38,0,0,5,SILVER,179
78,68743503,Smith,727,France,Female,65,5,94247.04,4,0,1,117873.77,0,0,5,DIAMOND,272
79,46258670,Smith,695,France,Male,57,7,104308.79,4,1,0,98939.93,0,0,3,SILVER,465
80,79739572,Smith,737,France,Female,80,2,182755.13,3,0,0,36967.91,0,0,2,DIAMOND,958
81,65848857,Smith,590,Germany,Male,26,8,53902.3,4,1,1,13973.82,0,0,1,SILVER,316
82,67055419,Smith,619,France,Female,74,8,246525.46,4,1,1,18818.65,0,0,4,SILVER,707
83,59160571,Smith,847,France,Male,68,2,187252.96,1,1,0,189197.96,0,0,3,DIAMOND,252
84,78394024,Smith,568,France,Female,57,5,197488.16,4,0,0,111052.31,0,0,4,DIAMOND,854
85,74525468,Smith,766,Spain,Male,90,4,26607.19,3,0,1,85946.98,0,0,2,GOLD,387
86,99966606,Smith,755,Spain,Female,81,3,119078.0,1,0,1,88058.05,0,0,5,SILVER,843
87,48727468,Smith,525,Germany,Male,87,7,236402.34,4,0,0,133917.12,1,0,1,SILVER,886
88,61757120,Smith,736,France,Male,81,9,67516.52,2,1,0,81565.93,0,0,5,GOLD,593
89,77157848,Smith,820,Germany,Female,42,8,36345.91,4,0,1,161327.22,0,0,1,SILVER,313
90,87897542,Smith,690,France,Female,45,8,121348.61,3,0,1,59389.15,0,0,5,SILVER,694
91,83665032,Smith,582,France,Female,27,4,232598.27,1,0,1,79779.23,0,0,3,PLATINUM,867
92,95390464,Smith,500,France,Female,45,4,121697.66,4,1,0,187649.39,0,0,2,PLATINUM,750
93,58170987,Smith,801,Germany,Female,53,10,101208.58,2,1,0,59453.9,0,0,5,DIAMOND,953
94,62562567,Smith,626,Germany,Male,28,2,162568.11,4,1,0,135701.32,1,0,2,DIAMOND,823
95,33717335,Smith,578,Spain,Female,38,8,234221.0,1,0,0,79267.78,0,0,5,PLATINUM,530
96,70472382,Smith,520,Spain,Female,43,0,12264.36,1,1,0,99527.45,0,0,4,GOLD,435
97,22719242,Smith,572,France,Female,35,2,38348.89,1,1,0,18585.77,0,0,5,DIAMOND,592
98,58715250,Smith,562,France,Female,85,6,33188.58,1,0,1,41774.44,0,0,1,PLATINUM,942
99,93139152,Smith,631,France,Male,58,6,21333.25,1,1,1,29363.43,0,0,4,SILVER,722
100,54054178,Smith,390,Germany,Male,32,4,75526.52,3,1,0,170495.88,0,0,3,PLATINUM,745
101,48334882,Smith,471,Germany,Male,40,5,57327.26,2,1,0,192721.34,0,0,3,SILVER,460
102,62441466,Smith,576,Spain,Male,58,3,137172.82,2,1,1,22915.18,0,0,3,SILVER,160
103,59583876,Smith,643,Germany,Female,23,7,81822.36,2,0,1,24600.7,0,0,2,SILVER,550
104,96117865,Smith,437,Spain,Male,88,3,101301.97,3,0,1,114912.1,0,0,3,GOLD,673
105,73203558,Smith,616,Germany,Male,77,9,235466.17,1,1,0,105766.64,0,0,5,GOLD,886
106,47407771,Smith,838,Spain,Female,69,5,38913.91,4,0,0,133608.71,0,0,4,SILVER,350
107,93122310,Smith,378,Germany,Female,26,4,97114.33,3,1,0,149993.11,0,0,1,SILVER,461
108,37009224,Smith,844,Germany,Female,47,9,64270.46,1,0,1,161471.7,0,0,3,GOLD,557
109,61327755,Smith,596,Germany,Female,61,5,137291.5,3,1,1,38325.84,1,0,1,PLATINUM,387
110,89018913,Smith,665,Germany,Female,79,2,184084.06,4,1,1,17188.79,0,0,2,PLATINUM,312
111,17130144,Smith,800,France,Female,60,2,204246.97,4,0,0,178940.19,0,0,2,PLATINUM,642
112,14545583,Smith,798,France,Male,45,9,128824.17,2,1,1,99212.77,0,0,1,PLATINUM,297
113,64079037,Smith,593,France,Male,25,6,213729.15,3,0,0,194536.42,0,0,5,DIAMOND,849
114,64474455,Smith,410,France,Female,68,0,196268.88,4,0,0,111226.2,0,0,1,SILVER,604
115,51542436,Smith,496,Germany,Male,47,0,39251.02,1,1,0,106905.2,0,0,4,DIAMOND,968
116,56626914,Smith,523,France,Female,28,0,61357.19,2,0,1,128366.08,1,0,3,PLATINUM,999
117,63933927,Smith,782,France,Female,37,5,167930.13,4,0,0,42327.36,0,0,5,DIAMOND,990
118,62453338,Smith,627,France,Male,48,3,243698.5,2,1,0,58267.7,1,0,1,SILVER,208
119,24881728,Smith,683,Germany,Male,51,5,94032.43,1,1,0,182103.23,0,0,4,SILVER,262
120,44045666,Smith,718,France,Male,29,0,57451.96,1,0,0,50342.27,1,0,1,DIAMOND,624
121,22722094,Smith,790,France,Male,65,3,217282.36,3,1,1,54264.46,1,0,3,GOLD,778
122,32178434,Smith,728,France,Male,45,3,49902.99,1,0,0,106896.99,0,0,2,PLATINUM,431
123,56321408,Smith,491,France,Female,84,1,174352.07,1,1,0,131818.76,0,0,1,PLATINUM,846
124,22796932,Smith,393,Spain,Male,80,0,8562.27,1,1,0,10171.73,0,0,4,GOLD,954
125,84023414,Smith,493,France,Male,65,7,4745.13,2,1,1,96788.43,0,0,1,GOLD,925
126,36063245,Smith,702,Germany,Female,59,5,112891.68,1,1,1,85812.49,0,0,3,SILVER,230
127,49443226,Smith,682,Germany,Male,69,3,164135.03,2,0,0,174467.65,1,0,4,PLATINUM,725
128,83619289,Smith,835,Spain,Male,22,1,35608.61,4,1,1,169542.52,1,0,2,SILVER,244
129,17887739,Smith,846,France,Male,29,4,190970.61,4,1,0,182125.46,1,0,3,PLATINUM,669
130,70736972,Smith,745,France,Male,76,8,32184.12,2,1,1,169989.62,0,0,1,PLATINUM,569
131,71071026,Smith,404,France,Male,82,6,133426.95,2,0,1,159475.16,0,0,5,SILVER,401
132,10769598,Smith,656,France,Female,69,3,77074.8,1,1,1,173210.94,0,0,1,GOLD,512
133,99178975,Smith,707,Germany,Male,60,4,188063.32,1,0,0,43213.24,1,0,2,PLATINUM,702
134,59007334,Smith,772,France,Male,80,7,201029.19,2,1,1,74761.33,1,0,1,PLATINUM,974
135,38433648,Smith,766,France,Female,67,10,16522.81,3,0,1,139887.48,0,0,5,GOLD,984
136,17971379,Smith,510,Spain,Male,56,4,48151.14,3,0,0,185394.88,0,0,2,DIAMOND,167
137,13331068,Smith,634,Germany,Female,59,5,223161.03,3,0,0,136712.67,0,0,2,GOLD,590
138,46810847,Smith,674,France,Female,34,9,103903.21,4,0,1,49510.29,0,0,1,SILVER,366
139,44428803,Smith,547,France,Female,60,5,119183.97,1,0,1,189486.36,0,0,3,SILVER,452
140,15654237,Smith,508,France,Male,66,7,42005.96,2,0,1,154464.94,0,0,2,GOLD,262
141,71553124,Smith,429,Spain,Male,22,10,248723.7,4,1,1,146143.31,0,0,4,DIAMOND,926
142,55816038,Smith,380,Spain,Male,18,4,230761.92,4,1,1,154876.26,0,0,2,SILVER,767
143,27750764,Smith,822,Spain,Male,84,0,506.17,1,0,0,135237.49,1,0,4,SILVER,693
144,46898446,Smith,461,Spain,Female,41,3,137683.67,2,1,1,14201.39,0,0,3,SILVER,314
145,33841962,Smith,395,Germany,Female,46,2,218066.85,3,0,0,58187.47,0,0,5,PLATINUM,965
146,76834972,Smith,702,France,Female,32,1,107633.4,1,0,1,191748.65,1,0,4,PLATINUM,115
147,53156515,Smith,554,France,Male,21,6,109203.56,4,1,1,64834.81,0,0,4,GOLD,186
148,32993420,Smith,401,Germany,Female,61,6,94836.79,4,0,1,156609.03,0,0,5,SILVER,571
149,72190751,Smith,487,Spain,Male,82,7,7207.08,4,1,0,90651.95,0,0,2,DIAMOND,242
150,31970758,Smith,821,France,Female,48,9,197570.83,4,1,0,182430.27,0,0,4,PLATINUM,213
151,46513466,Smith,423,Germany,Female,37,4,114196.3,3,1,1,115957.12,0,0,4,PLATINUM,620
152,41288562,Smith,390,Spain,Female,27,0,132766.41,2,0,1,130058.34,1,0,5,SILVER,913
153,31351509,Smith,828,France,Male,28,5,63921.28,3,0,0,55528.78,1,0,2,SILVER,491
154,33484187,Smith,426,Spain,Female,45,5,196029.62,4,1,0,20929.45,0,0,1,SILVER,772
155,71777469,Smith,736,France,Female,55,10,198437.14,2,0,0,153745.7,0,0,4,PLATINUM,509
156,46093880,Smith,536,France,Male,41,7,138230.2,1,1,1,22852.23,0,0,3,GOLD,884
157,60441204,Smith,719,France,Female,56,9,226156.98,1,1,0,147141.66,0,0,5,PLATINUM,322
158,91752859,Smith,401,Germany,Female,68,1,28971.06,3,0,1,115543.64,0,0,4,GOLD,750
159,54066131,Smith,767,Germany,Male,67,10,196656.67,1,0,0,165804.51,0,0,2,DIAMOND,935
160,85415325,Smith,782,France,Male,24,8,139646.04,4,1,0,49096.89,0,0,3,PLATINUM,187
161,45563453,Smith,761,Spain,Male,85,10,57753.29,2,1,0,112890.63,0,0,1,DIAMOND,954
162,44755914,Smith,816,Germany,Male,70,5,33075.95,2,0,1,126692.56,1,0,3,DIAMOND,177
163,60873983,Smith,436,Germany,Female,54,0,75251.76,3,1,0,24116.58,0,0,4,PLATINUM,394
164,63892568,Smith,458,France,Female,71,8,214078.98,2,0,1,150398.73,0,0,3,SILVER,590
165,33637222,Smith,829,Spain,Male,72,7,196904.84,1,1,1,83915.59,1,0,1,SILVER,950
166,12484413,Smith,746,France,Female,48,9,161283.11,3,1,1,34493.68,0,0,2,GOLD,421
167,80016224,Smith,574,France,Female,82,0,22581.75,4,1,1,83542.34,0,0,1,DIAMOND,295
168,49449976,Smith,831,France,Male,76,7,238707.66,3,1,0,28677.28,0,0,1,PLATINUM,975
169,99583549,Smith,830,France,Female,64,6,76360.03,1,1,0,178719.22,0,0,5,DIAMOND,279
170,12235000,Smith,597,Spain,Female,66,4,151750.0,1,1,0,96784.38,0,0,5,DIAMOND,730
171,33685747,Smith,418,France,Female,35,5,200775.47,1,1,0,36225.33,1,0,1,PLATINUM,477
172,47876684,Smith,469,France,Male,20,3,33213.96,3,0,1,57898.18,1,0,3,GOLD,596
173,82931048,Smith,416,Spain,Female,35,8,163049.19,3,1,1,147683.33,0,0,3,GOLD,494
174,39859174,Smith,410,Germany,Female,75,8,8074.0,2,0,1,159356.75,0,0,1,PLATINUM,323
175,46102853,Smith,793,Spain,Female,88,9,25447.33,3,1,1,17850.12,0,0,3,GOLD,310
176,56159303,Smith,676,France,Male,42,0,180785.91,4,1,1,21377.24,0,0,2,DIAMOND,867
177,22195226,Smith,757,Germany,Male,35,8,38770.54,3,1,1,184265.18,0,0,3,SILVER,572
178,57936136,Smith,540,France,Female,69,2,110876.68,2,1,1,72886.62,0,0,3,GOLD,737
179,79062973,Smith,819,Spain,Female,60,1,62083.14,4,0,0,46731.53,0,0,1,PLATINUM,149
180,24421668,Smith,842,Germany,Male,84,3,105307.38,4,0,1,33380.95,0,0,3,SILVER,407
181,31200096,Smith,538,Germany,Male,24,3,19305.06,3,1,0,100431.92,0,0,3,SILVER,149
182,93375337,Smith,500,France,Male,91,8,188725.14,2,0,1,156500.01,0,0,5,PLATINUM,801
183,33234510,Smith,635,France,Male,61,3,19760.29,2,0,1,109012.38,0,0,5,SILVER,538
184,61715898,Smith,793,France,Female,61,4,209478.62,4,0,1,13928.0,1,0,3,SILVER,900
185,55968757,Smith,751,France,Male,68,5,165652.22,4,1,1,101941.94,0,0,3,SILVER,664
186,10061087,Smith,445,France,Male,38,3,104146.39,2,1,0,69214.84,1,0,1,SILVER,624
187,90705119,Smith,661,Germany,Male,54,0,216621.64,1,0,0,139743.24,0,0,2,GOLD,796
188,76653416,Smith,658,France,Male,45,1,46532.82,1,1,0,109466.7,0,0,5,GOLD,460
189,95382256,Smith,612,Spain,Female,49,2,66141.06,3,1,1,193414.06,0,0,4,SILVER,535
190,20274621,Smith,446,France,Female,74,3,34280.92,2,1,0,123651.19,0,0,3,DIAMOND,870
191,23022704,Smith,802,France,Female,58,4,95392.17,4,0,0,130171.38,0,0,4,DIAMOND,242
192,26816569,Smith,462,Spain,Female,71,9,246683.3,1,0,1,108843.85,1,0,1,PLATINUM,833
193,17654909,Smith,825,Germany,Male,44,9,40256.84,4,0,0,69091.04,0,0,4,PLATINUM,583
194,47814054,Smith,474,France,Female,91,2,207744.12,4,1,1,129814.6,0,0,2,GOLD,814
195,94302960,Smith,805,France,Female,57,10,162970.02,2,1,0,73253.21,0,0,2,PLATINUM,717
196,25421040,Smith,812,Germany,Male,58,0,3953.53,4,1,0,146296.15,1,0,1,GOLD,590
197,34210512,Smith,785,France,Female,87,10,236222.55,2,1,1,55000.82,0,0,5,GOLD,767
198,82073914,Smith,481,France,Female,41,10,242772.82,4,1,0,79855.66,0,0,3,SILVER,138
199,77922032,Smith,767,Germany,Female,35,7,231225.18,1,1,1,120893.18,1,0,4,GOLD,852
200,43779713,Smith,802,France,Male,91,7,125434.91,2,1,0,129413.42,1,0,1,GOLD,283
201,21506305,Smith,766,France,Male,73,3,55093.8,4,1,0,137036.44,0,0,2,PLATINUM,735
202,30560091,Smith,470,Spain,Male,32,6,97816.17,3,0,1,143060.13,0,0,2,DIAMOND,769
203,96881845,Smith,546,Spain,Female,89,3,153547.89,3,0,0,70478.21,1,0,1,PLATINUM,793
204,17734102,Smith,643,France,Male,52,2,94709.1,3,1,1,179589.52,0,0,1,GOLD,805
205,15674719,Smith,831,Germany,Male,44,6,177042.91,3,1,1,15687.39,0,0,1,GOLD,979
206,18658144,Smith,471,France,Female,20,5,198893.89,1,1,0,45801.69,0,0,4,SILVER,689
207,50163712,Smith,631,Spain,Male,38,0,52348.22,1,1,1,23326.76,0,0,2,GOLD,931
208,99386386,Smith,734,Germany,Female,56,8,101235.48,3,1,0,137592.02,1,0,1,PLATINUM,865
209,95447809,Smith,609,France,Female,49,1,239436.09,4,0,0,61996.39,0,0,3,GOLD,858
210,98917675,Smith,388,France,Male,67,2,62451.7,1,0,1,47839.17,0,0,1,SILVER,540
211,54165849,Smith,403,France,Female,26,4,86611.87,3,0,1,101326.82,0,0,1,GOLD,410
212,82586911,Smith,823,Germany,Female,67,2,8915.13,1,1,1,127619.03,0,0,4,DIAMOND,578
213,78227907,Smith,510,Germany,Female,18,2,83091.51,1,1,0,127656.76,0,0,5,PLATINUM,708
214,88826934,Smith,638,France,Male,21,7,92732.85,4,1,0,115915.98,1,0,2,DIAMOND,543
215,59905866,Smith,549,France,Female,21,3,24958.89,4,1,1,198477.41,0,0,1,GOLD,679
216,91121402,Smith,625,France,Male,51,9,360.56,2,1,0,173440.81,0,0,4,DIAMOND,203
217,50657662,Smith,365,France,Male,44,1,143851.37,4,0,1,55383.44,0,0,5,DIAMOND,647
218,16659908,Smith,754,France,Female,32,4,75381.65,3,1,1,154156.09,0,0,5,SILVER,512
219,41378291,Smith,522,Germany,Female,49,1,4455.96,2,0,0,118166.47,0,0,5,PLATINUM,653
220,73020641,Smith,597,Germany,Female,58,9,214986.08,3,1,0,23398.62,0,0,1,DIAMOND,985
221,46634821,Smith,732,Spain,Female,88,10,146102.42,4,0,1,19420.41,0,0,1,GOLD,916
222,29433354,Smith,567,Spain,Female,78,7,42792.09,4,0,0,161927.62,0,0,4,GOLD,883
223,26887294,Smith,436,Germany,Male,80,2,216311.66,1,1,0,113548.23,0,0,2,DIAMOND,721
224,83422991,Smith,431,Germany,Male,78,1,63396.49,3,0,0,118551.73,1,0,4,SILVER,578
225,45562619,Smith,411,Spain,Female,31,2,56861.43,2,1,1,73891.12,0,0,5,PLATINUM,457
226,45213498,Smith,636,France,Male,40,2,223658.51,4,0,1,186766.13,0,0,3,DIAMOND,772
227,45703247,Smith,849,France,Male,82,0,44864.47,2,0,1,145536.08,0,0,2,GOLD,468
228,50910172,Smith,391,France,Male,49,2,219746.45,4,1,0,186276.77,0,0,4,DIAMOND,366
229,72744322,Smith,361,Germany,Female,58,2,200743.33,4,0,0,28860.78,1,0,2,SILVER,534
230,67805563,Smith,670,Spain,Male,43,3,77444.39,1,0,1,120908.58,0,0,3,PLATINUM,929
231,16404003,Smith,583,France,Male,65,7,8599.27,2,0,0,131130.18,0,0,5,GOLD,829
232,81244178,Smith,678,Germany,Male,90,8,20643.28,4,0,0,33938.73,0,0,4,GOLD,167
233,61939266,Smith,480,Germany,Female,33,0,27382.07,4,1,1,75790.35,0,0,2,SILVER,645
234,43267858,Smith,464,France,Male,48,0,222699.71,1,1,0,50812.83,0,0,2,DIAMOND,649
235,31114003,Smith,567,France,Female,83,5,101008.99,4,0,0,197047.21,1,0,1,GOLD,989
236,96641503,Smith,486,France,Male,49,0,8132.44,1,1,0,113248.89,0,0,5,PLATINUM,210
237,20421958,Smith,455,France,Female,27,4,139137.12,1,1,1,69899.57,0,0,4,PLATINUM,225
238,87809459,Smith,528,Spain,Male,42,0,51998.06,1,1,1,136254.36,0,0,5,DIAMOND,910
239,22984808,Smith,365,Spain,Female,62,7,58781.51,4,1,1,135314.05,0,0,1,SILVER,917
240,24764960,Smith,821,Spain,Male,41,4,40210.43,1,1,0,75992.77,0,0,3,GOLD,970
241,60402943,Smith,591,Germany,Female,20,5,190505.37,2,0,0,198845.34,0,0,5,PLATINUM,257
242,86241446,Smith,683,Spain,Female,79,3,153.22,2,1,0,163702.7,0,0,1,DIAMOND,375
243,63777024,Smith,730,Germany,Male,84,7,109746.04,2,0,0,86060.45,0,0,3,SILVER,563
244,93494666,Smith,736,Germany,Male,72,8,21717.79,2,0,0,135411.28,0,0,5,DIAMOND,114
245,80721464,Smith,575,Germany,Female,27,8,138093.65,1,0,0,145002.53,0,0,3,SILVER,999
246,94711896,Smith,830,Germany,Female,72,0,86498.09,3,1,0,43025.14,0,0,4,SILVER,839
247,89214742,Smith,591,France,Male,39,6,7087.9,4,1,0,176850.24,1,0,2,GOLD,638
248,53799966,Smith,757,Germany,Female,31,3,115243.56,4,0,0,166947.18,0,0,3,SILVER,775
249,20047453,Smith,806,France,Male,90,9,142646.37,3,0,0,153578.24,0,0,2,GOLD,566
250,45581225,Smith,490,Germany,Male,25,10,61913.51,3,0,0,52308.45,0,0,4,SILVER,459
251,44109026,Smith,735,France,Female,32,7,191377.97,4,0,0,35887.46,0,0,3,PLATINUM,849
252,52090758,Smith,548,France,Male,32,6,92762.19,4,0,0,44304.14,0,0,2,DIAMOND,915
253,26037627,Smith,461,Spain,Female,69,0,187336.63,3,1,1,27673.57,0,0,3,DIAMOND,797
254,90337039,Smith,476,France,Male,87,0,144753.93,2,1,1,188655.26,0,0,1,GOLD,504
255,30281689,Smith,370,France,Male,71,0,217313.27,1,0,1,171783.95,0,0,3,PLATINUM,397
256,67631343,Smith,496,France,Male,59,1,136731.2,4,1,1,27248.1,0,0,3,SILVER,408
257,81450611,Smith,438,Spain,Male,36,9,46406.8,4,0,0,138814.43,0,0,5,GOLD,504
258,56510960,Smith,652,Germany,Male,57,1,205647.8,4,0,1,56661.6,0,0,5,PLATINUM,124
259,42797855,Smith,755,Germany,Male,86,8,195758.81,2,1,1,13281.99,0,0,4,GOLD,436
260,44795514,Smith,552,Spain,Male,44,4,243088.95,2,1,1,65554.51,0,0,4,DIAMOND,949
261,15184502,Smith,766,France,Male,91,0,23395.48,4,1,0,93605.71,0,0,4,SILVER,987
262,33448674,Smith,765,France,Male,60,6,147807.79,2,0,1,13807.25,0,0,2,GOLD,160
263,65223954,Smith,797,France,Male,69,9,122917.25,4,1,0,71506.81,0,0,4,GOLD,974
264,40948143,Smith,434,Germany,Male,63,1,167718.03,1,1,1,143067.0,0,0,4,GOLD,382
265,22503247,Smith,516,Germany,Male,31,2,245044.96,2,0,0,53401.41,0,0,5,GOLD,999
